Index,A,Label
44,@creyes middle school and elem. High schools will remain open for those who need credits to graduate. Cali is broken,1
45,"Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now",12
46,"@onscrn Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also",12
47,I'm having a problem with my photo here in twitter amf!!!...can't see my face!,10
48,"@jakeboyd, oh noooo!  if i blow a tire you're reaaaally going to have to send up some batman smoke.",8
49,wnna take a bath!!!!,8
50,Chocolate milk is so much better through a straw. I lack said straw,8
51,why am i so tired?,12
52,@djmicdamn hey yu lil fucker i textd yu,1
53,"@Mennard time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs",8
54,@benballer  no way! damn that sucks B!  are you ok?,8
55,sucks not being able to take days off of work or have the money to take the trip  so sad,12
56,"bed...sorta. today was good, sara has strep thought Angelina does to; i shared a water with her B4 they told me, i will prob get it to",3
57,@ramtops the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we'll cope,8
58,@lostluna But I got dibs on Sulu...,8
59,"@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet.",10
60,@itsgabbith at once haha.  poor aby still gets sore!,12
61,diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.,10
62,I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;,10
63,@Pokinatcha  in all honesty...pain   blech.,10
64,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...,10
65,At home alone with not much to do,8
66,@DavidCookLove ia so much! i haven't really been happy with any of cooks choices for singles.,12
67,@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol,10
68,So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin,12
69,"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards.",5
70,I cant give @jertronic any bday nudges.,8
71,...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him',12
72,Brothers Bloom won't be opening this weekend in El Paso.  I'll just buy Brick and enjoy that until I can watch Brothers Bloom.,8
73,says I miss plurking.  http://plurk.com/p/wxion,8
74,"Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water",12
75,I miss Voobys!,8
76,@Dancing_Monk Neither are ELP!!,8
77,"@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?",5
78,is sad that shin ae got married...and it wasn't to alex,12
79,"@shondarhimes Sure you will tweet about this when you're back, but news is abuzz about TR Knight's leaving &quot;confirmed&quot; today.  Muy triste.",12
80,@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?,10
81,there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.,8
82,"@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go.",10
83,"goooood mooorning people... sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now..",12
84,@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia,10
85,fresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw,12
86,dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code,6
87,@emmarler i am jealous of your mom talking to @taylorswift13. i want to see you all our twittering is making me miss you,12
88,I can't sleep...I keep thinking about the puppy I played with today,12
89,.. I'm suppposed to be sleep. But i got some much to do. &amp; i got that one part of the song stuck in my head &quot;your a jerk (iknow)&quot;  blaahh,12
90,@lepetitagneau what's going on sweetheart?,8
91,"How can it be so freaking difficult to get a system-wide spellchecker? Shit, I'd settle for an office suite one. Stupid unhelpful Windows",8
92,"Last one month due to summer, strawberry is not availble in the Chennai markets!",12
93,@willxxmobb work at 6am. Gotta go to bed soon,8
94,@RobertF3 correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.  All better now! Hahaha,7
95,@sweeetnspicy hiii im on my ipod...i cant fall asleep,10
96,dont wanna work 11-830 tomorrow  but i get paid,10
97,feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux,10
98,PrinceCharming,8
99,@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS,6
100,First ever dropped call on my mobile. On a call to @Telstra no less! ( being charged for data even though I have a data pack  ),12
101,@mrgenius23 You win ... SIGH Rakeem,6
102,Oh is that time for real?,8
103,Darn these allergies! I don't like this time of year because of this! I never used to have this problem either,10
104,Oh no one minute too late! Oh well,12
105,"@soviet_star Damn, that sucks",6
106,@cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS,10
107,@mileycyrus THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up,6
108,ahh! big scary bug flying around my room!!!!!,12
109,"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!",10
110,is up with a nasty cough i cant be sick i have a huge weekend ahead of me,12
111,@justamedicine  That was stone cold   Crazy....  ?,8
112,i'm so tired,1
113,shift time  bbye biochem waaaaahhhhhh!! http://plurk.com/p/wxizo,8
114,@melbournegirl I'm sure some1 will cum out and play. I'm workin through til midnight.,8
115,@thecreativeone I second that. I wish it rained more where I am,8
116,@neesabear early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!,10
117,damn it were is Eric or anyone else when you need your hair to be played with,8
118,I'm feel deflated. Ugh. No more dog.,8
119,Allergies suck ducks nuts.     &lt;=====8@8=====&gt;,10
120,Well it almost was a good day... Guess I just retry tomorrow,8
121,@IamYeTe Waraku is tasteless and expensive! Portion is so little!!!!!  re: waraku,6
122,@freepbx sounds good. Appreciate the suggestion. Been a week now and we're still offline  Time to ask for a refund...,7
123,"@poinktoinkdoink He died.  Wait, what about Magic Jack? I just read it.",12
124,@britblackbird  youstinkatrespondingtotexts!,6
125,wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54,10
126,"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho.",5
127,Is miserable  i feel like im gona cry  sux!,10
128,@megturney well I ran out of beer so I left. Not sure about the ETA. Waiting waiting waiting. Bleh  Gonna be a long nite methinks.,8
129,$#@! My nose stud fell out and I can't find it  Looks like I'll have to head into Amsterdam today and get a new one,12
130,"claire @breakfastnt love the show, got into the office @ 5am and no radio",8
131,Pats in philly at 2 am. I love it. Mmm cheesesteak.  Miss my boyfriend   but I love vacation.,7
132,*sigh* I'm going to bed... I just don't feel right anymore...,10
133,What? I focused on Tom so much I didn't see my beloved Barack! Oh no! I must vote for both! Poor president only has 626 votes.,8
134,@jwillock EpiCentre Wheelock Place - tourists only..,8
135,Now I am depressed after watching so you think you can dance,10
136,"Just cross 'cause I'm stuck twiddling my thumbs now, ugh",10
137,miss 16'th,8
138,"@TheHarvardian I know. But like I said, I have no idea how long it takes for them to investigate this stuff.",8
139,"I cant sleep, but im too sore to move",12
140,@LaFloozita http://twitpic.com/4phze - Awe! I miss my baby,8
141,@softtouchme just answered you- never learned how to write in French- just basic stuff-,1
142,what is it with chocolates? i just can never say no,8
143,Achieving a new appreciation on how a xml build script can really be painful and cumbersome,12
144,@ether_radio i'm too awake now  ill have a nap this afternoon,8
145,@omfgiselle i cant do anything,12
146,still needs another 6 hours of sleep,8
147,I'm at work,9
148,RIP leonardo. You were a great mini fiddler crab,4
149,"Morning tweeple,way to early again",8
150,"Last day working for the Uni today, sad times",10
151,"@NisforNeemah thanks neemah. I'm gonna be soooo close to you and izzy, yet so far",7
152,My head hurts so bad I could scream!,12
153,i just go up and IM SO TIRED and my airmatras is broken somewhere and now im in even more pain,12
154,New work wellness challenge not going well.  I committed to not check email between 10 pm and 6 am.  Failed on first day.  Twice,12
155,New blog post: [Blog] auto insuran...: I just found that my auto insurance policy had been expired. ( I am too careless  ...) .. Meanw ...,12
156,"where are all ma bestfriends at ? , MIA or wat ?",8
157,oh men!!!!!!......I really can't see my face........c'mon guys!!!,12
158,"I'm showing my age. Renewed my tags last week, went down $20. Got my insurance renewal email today, went down $100. I don't wanna be old",12
159,my sole supporter is not my sole supporter,12
160,don't you hate it when you finish all your work and there's still 1.25 hours left of work time,6
161,@Emilyyy16 urgh stop it guys,12
162,is still missing her husband.    I really want him home.,10
163,I miss my puppy,10
164,"2 days of this month left, and I only have 400MB left on my onpeak downloads.",11
165,@IdleThumbs Up is out?  I didn't get the memo   It looks amazing.,4
166,@nzdeany I've given up on pizza - kids would never let me have my fav  (the hot ones),10
167,Up reading tabloids about other people's lives...thinking what I'm gonna do with mine when my baby leaves?,12
168,@BarbSchaefer yearling in pet home died... very sad for their whole family,10
169,fun in the sun hmmm hell no it's cold,8
170,I got a giant splinter stuck up underneath my finger nail today at Muppets...it hurt.  But I got to go to First Aid for the first time!,12
171,"@heresmyhello92 We hate change, so of course. We're fans for life. &lt;3 Oh and if we haven't met Rob by then something went horribly wrong.",10
172,is feeling sad... for some reason..  http://plurk.com/p/wxji3,12
173,well fuck- this new pain med has an odd warning that actually applies to me. i can't take this. -chan is displeased.,10
174,just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad,10
175,@juneyee i don't think so.  I WANT DETAILS.,8
176,@jackgraycnn Hi...!!! Who is Mary Poppins???,8
177,"@jaychuck Its so addicting, but its kind of a curse to do them at night time. Everytime i do one, i feel like making music afterwards",12
178,my last tweet didn't send  bad phone,8
179,@relly1  OMG Ur alive!!! LOL  2day has gone sooo slow  I'm going insane Grrr You doing anything tonight?,4
180,Have a headache  I'm going to bed. Goodnight!,1
181,@taxidermi  I was watching Parental Control,8
182,"@JessiJaeJoplin did you get them from california vintage? ahahah they have the BEST dresses, i want them but i dont have ebay",4
183,I just saw pics from this past Thanksgiving and am sad because Grandma was in them.,10
184,@jertronic it wont let me,12
185,Took a shift tomorrow.    I don't really feel like working right now.,10
186,but now i have no money for a phone,10
187,Spent last night in A&amp;E (ER). Wife tangled wheels with Daughter &amp; hit the deck. Dislocation &amp; fracture resulted.,12
188,@TheLastDoctor 9 days  I'm about ready to visit Torchwood and see if they've heard anything,12
189,@Bern_morley where are you? In Bris? I can't hear any thunder,11
190,"bec vs fat food   --- winner = fat food  but not this weeknend, ill beat it!",11
191,Too bad the Red Devils.. disappointing to say the least,10
192,I had a dream about a pretty pretty beach and there was no beach when I woke up,11
193,"@xdjio Have a 3ware 9650SE, not fast enough for 3x X25-M SSD RAID5. 800Mhz IOP on the HPT. Might try an Adaptec 5405 (1.2Ghz).",10
194,when da heck will the garage man get here I ask you.. WHEN..,11
195,"Ate Mandy, please forgive me. I really am sorry. I don't wanna lose my Bff",12
196,@melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.,6
197,why are plane tickets so expensive,12
198,(@wendyisastar) @melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.,4
199,Needs a job BADLY!!!,12
200,@AlexanderGWhite daaammmnnnnn I do wish I was there.,10
201,Went to Di Bella coffee roasters today and asked for a job...   The person I needed to speak to is on holiday...  #fb,12
202,@yuki_hime I played up until the latter parts of the voodoo village part co-op until I lost my usual partner,10
203,@DymeDiva23 Nite. Now I'm up n bored as opposed to almost sleep frm b 4,1
204,is a bad friend,10
205,@rlcpbiatch happy birthdayyy! hope you have an awesome day. didn't see you at next last night!,8
206,@SparkDawgMusic im doing that shit right now ... im on vacation and you got me workin,6
207,@aiderushton ill be over in an oir,8
208,@only1kcj guess its a no go girlie. I'm still at the gym and work at 6:30am,8
209,would wish the severe migrains would stop!!! doc's prescriptions arent working,6
210,@bobbyedner i missed the game,7
211,"@moggy99 No internet last night; ER was brill, there was a massive explosion at the end of a nearby gas works ER on standby",10
212,@tiffalo cuz airlines are super lame.,6
213,@lenje - Still a pity it comes with no lamb though,10
214,@bloomsday16  I'm sorry to hear that. Here is my optimist: Things will get better. For all of us.,10
215,"is done painting all the bedroom furniture, I still have to do the table but it will wait until after the move. Uggh moving in the heat",9
216,I'm so very tired...and have insomnia.,6
217,@juiceegapeach A hungry fool. Ill probably never see that Krispy Kreme again. Had to enjoy it. They closing down,8
218,@yelgiuQnayR airport? and you didnt show up tonight homo!,8
219,"I hate Bakersfield and I hate the Ports, let me go home already.  I want to start my vacation.",6
220,@MrRathbone what about me,8
221,"Looking for desktop twitter app that will actually let you access URLs, any suggestions? I liked Twittle but no linking",8
222,people in my house do not know how to close doors,12
223,Why am I completing facebook quizzes at this time of the morning... especially a friday morning,11
224,out with @lizzziemonster &amp; @jamiejamess i am soooo hungry,8
225,@munchkinhugs I don't like the possibility of the left side of my brain hurting because of the thing called a VP shunt and possible death,12
226,Had to cancel wow for now,10
227,wants to make a music profile but i don't have money i don't know how to write music i don't know how to play an instrument and no studio,12
228,@fairyfroggie But yeah...I'm sad about my &quot;Ravenclaw&quot; account. I love that account to bits.,10
229,"It's 1:15 AM, and I hear a helicopter flying over my house. That's kind of weird. In other news, my headache is back. BOOOOO.",12
230,@__sugar oh no  i am always here ;) &lt;3,12
231,back from school. Ms Suhana's last day as our FT  OCU was okay. I'm playing ALTNOY over and over again.,8
232,@ poll : was trying to get it to work in a powerpoint to no avail.,8
233,"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs.",5
234,"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go",5
235,"@livestrongnj yeah, it's terrible  cockatoos are the hardest to live with, so emotional. good thing he found you, though!!",8
236,Up late with nothin 2 do.....,10
237,i think the vog is making me sicker than i think. feeling slightly achy,12
238,"@TheTombert i was watching Harpers Island, lol... there was no vodka involved",1
239,i am doing homework it sux big time maths is the worst!!!!!!,12
240,"@Nymo would have been better, IMO, if it let you play through all 3 songs provided. I just start to &quot;get it&quot; and it blacks out.",8
241,#3wordsaftersex it never started...,8
242,sometimes i wish things could go back to the way they were the beginning of last summer,10
243,"I downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets, but no, they didn't",12
244,@tarng Trudy's off Burnet...the one up north that no one goes to,1
245,"@kateisbored I feel the same way, but I guess no matter where you are there will always be memes.",10
246,"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more",5
247,i'm sooooooooooooo confused,12
248,"With friends like VaikO,Nedumaran, LTTE didn't need enemies. Wrong advice at wrong time led to numerous deaths &amp; a lost cause as well",8
249,"Work day 7 of 7,",12
250,Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks,5
251,"I looove guitars, and playing them. I think they sound magnificent. If only i was better... If only",8
252,"@SuperJerry No refunds but they do retrieve accounts, takes like a week. Just hoping the thief doesn't use hacks or then it's permaban",12
253,@mysticnz no im not  cries LOL,8
254,Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL,10
255,"@Gurlstrange EpiCentre Wheelock Place, 250 units &amp; for tourists only. Starting today",11
256,I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.,6
257,Come on Knight... It's been well over 4 hours,8
258,not super keen on the drive home through the rain.. additional concentration required that i don't really wanna deal with,12
259,@FoxxFiles aw u can't let me in on the secret!,11
260,"@freshypanda Im sorry  I don't think I stick out, at least compared to what I used to look like.",11
261,"no transport for church  wont be making it, im crushed. Oh well, more time for assignments I suppose. My throat really hurts ...",12
262,"i HATE when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad. ultimately, the baby is the one who suffers.",6
263,Lies...lies...lies....you just cant avoid to lie about practically...EVERYTHING!,6
264,twittascope is NOT rocking my socks - go away already!!,8
265,Driving Back home because I forgot the piece of cake for @v_era,8
266,@seemouserun so I tried jumping without the trampoline and its like thud* thud*  shouldn't have eaten that cookie.  http://myloc.me/1XIz,12
267,"Everytime I send an email to my coach, I feel a need to practice.   shitty balls.  Lol",10
268,It's pissing me off and not letting me follow ericka,10
269,Is going to sleep not peaceful  wanted to hear him say Good Night but that didn't happen  Good Night everyone....,10
270,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.,10
271,@koifusionpdx i was so close to the tacos...one spot too late,8
272,@msz_rockstar umm how bout em?..aint get 2 see da game  but i see dey survived anotha game of da series due to notin but Lebron im guessin,1
273,is thinking so much and i'm at work,11
274,I have forgot the live with the Jonas Brothers on Facebook,12
275,I haven't seen Muffin in two whole days!,10
276,@YumiFujii i'll miss y'all back... give @LesleyBoudy my regards...,10
277,my gap year is going so quick,11
278,"I have to admit, I'm a bit bummed out that I wasn't with my friends walking today....",12
279,@jennyvokals girl a blunt is soooooooo in my thoughts right now. I had an absolutly GREAT day with a few stressors...come home,8
280,my twitter has been hacked again,12
281,Just found mj mouse flats at DJs. Of course there are none left in my size,10
282,@passingcarss i wont have time to buy  and i need a new binder pa,8
283,@lanacaitlin  hahaha well its try its so ugly,6
284,25-man Ulduar is hard...,8
285,"@jmoriarty I don't even want to know WHY you know about VHEMT, but don't go - we'd miss you",12
286,@OooChelcyooO That's awesome! We have that this weekend too but I can't go because I'm moving this Sat.  I should be a lot of fun though,4
287,night night twitter world. [still cant believe the thomas thing  tomorrow's gunna be FUN/SAD],8
288,@princess_oats this is happening to me too,8
289,@qi_tah oh no.  *hugs*,11
290,"@oxygen8705 bored now because i was talking to someone but now they're busy with something else  just kinda a bummer, idk",8
291,@xoshayzers i knoww  things won't be the samee &lt;/3,10
292,"OMG-ness it's 11:18 pm and I need to beup early to set up my garage sale it starts a 8am, wish I said 9am. I'm beat.",12
293,@vinylvickxen i kno i doooo!!!!!!!!!! yall partyin with out me,5
294,"Okay, so twitter suddenly changed, how do I respond to messages now",12
295,ugh.. my dad just told me to read an article about Kavya Shivashankar the spellin bee girl..and be more like her.,8
296,Decided that no matter how good my hair looks curly it doesn't justify the burn I get from the curler! My hands covered  I suck at it!,12
297,Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck,10
298,@ThaBillCollecta  YEA     I GOTTA BE UP AT 7:30,8
299,I hate when my bf beats da dogs. But I guess that the only way to teach these pitts.,6
300,sprained my ankle  like really badly and tore some stuffs. it hurts! and its my birthday weekend,12
301,I can't believe the Metal Gear Solid song was stolen    I'm so disappointed  http://bit.ly/YKkSu,10
302,think i may have broke a toe at the bar tonight......thanks drunk girl for steppin all over me!!!!!,6
303,"Not one sale done today at work. Explored balconies in the big theater w coworkers. A fun day, but void of chili fries and tips",8
304,@MacZombieRawr  I wish I had Left 4 Dead. But first I'd need something to play it on...,10
305,@sillybabyjulie me too,8
306,@digenis that story reminds of living in Portugal,8
307,"@jhicks  youre diabetic?   so is my dad.  &amp; i might be too, not sure.  are you still allowed to eat sugar throughout the day?",8
308,I spilled my beer all over my leg. Wasted half my beer.  Home now. I met a cute girl. Good conversation.,5
309,my roommate @tess_tickle loves to ignore me,6
310,@SuperFiasco  I'll make him nachos tomorrow. Better than if he would have made them himself.,8
311,@MyDailyRoutine yeahhh. &amp;dont judge my pillow,8
312,"Scary lightning and thunder  I'm glad it's over now. Going to sleep, I hope I'm not late to school tomorow again. Haha",9
313,my teeth and head hurts,10
314,I HATE rob zombie movies. &amp; the smell of weed. Vommmm.,10
315,"@jcwentz Maths and Science were the strongest for me i think..dunno bout geography, only did like 1 day of study for 1/2 a year of work!",6
316,Waiting in line @ tryst,1
317,Hope I get a job cuz we need an apartment. I'm drunk &amp; miss my lil punkin  TEHE!!!,12
318,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to beover,12
319,I need to be held...  Gnite.,12
320,"Hanging out with sam, billy, and veronica. not going to school tomorrow to take sam to body shops. Dang car accidents",12
321,no more arrested development. i am sad.,10
322,"@Giggles_xo  wicked , what time you leaving? how come you cant stay the night",8
323,omg i keep losing followers this is so sad  i want 90 one day....thats my goal ;D,10
324,I feel so deflated. No more doggy.,10
325,@blood_rain i wanna see her hair  hows everyone?,12
326,"I just had to empty my trash on the mac. that was one of THE MOST DIFFICULT things I have ever done in my life. 8,000 pictures are GONE.",10
327,im contacting PAWS Philippines so i can find &quot;tiger&quot; a new owner. im so sad. i love my dog soo much,10
328,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over,10
329,Aww...  Pray for the arroyo family everyone!,12
330,@the_babsi there's a manual process... but it's taking 4ever on my outlook database... pffff. crappy msft product,8
331,Fuuudge. Movie store is closed,10
332,ALO is so sad and quiet and empty tonight,10
333,"@meganmansyn Hahahaha! It's not horrible, if others were singing with I'm sure it could work. I wish I could afford my own drum set",6
334,@wuzzyangel You never answered your DM I sent you....   I need your info...,12
335,Am trying to get through the pilot of the first season of friday night lights. Oh gosh  Pass the tissue...,12
336,@Mona26 Aw where are you headed to? i just cancelled my trip to Aussie,10
337,I have cystic lacrimal infectection?? my eye and face are swollen and it hurts!!,12
338,@jose3030 I didn't think anyone caught that,12
339,I need to be sleeping.. But i'm not even tired..,1
340,0,1
341,OH NEVERMIND I THINK THIS THING IS UNSALVAGEABLE,8
342,"lyin in bed, up faaaaar too early",8
343,Sad that Christian Lacroix had to file bankruptcy,10
344,I dont feel good AT ALL. fuckkk,10
345,why did i agree to work a double shift,1
346,looks like i'll never go to the zoo,12
347,@djvinceadams Ohh poor girl  I'll email her... I am relying on you being here in October Mr!!,12
348,When will Medhurst play again?,8
349,@Moss1982 bad times?,12
350,aarrgghh - fu*k.....a hose has leaked water all over the new floating floor,6
351,Have to go to the dreaded DMV tomorrow,10
352,@duncm I'm a bit Ben's Thai-ed out,8
353,english class! working on interactive orals,5
354,@SharonHayes Thank you for the rec but that doesn't work,12
355,@dmoneymania  I'm sorry. Excited for tomorrow night? Karaoke!! Getting anything special for bday?,8
356,My puppy Gizmo h8s me..  haha. He still growls @ me.  I always look back @ my long pruple scar on my fingie,12
357,I don't know how ima work out tomorrow wit my body dis sore  ugh,12
358,in 7-11  w/o you,8
359,"@becjee Yeah, plus it's just a little too far to walk to Pinocchio's for sushi",8
360,I'm feeling this pressure in my head that always kicks in just before a nasty headache. I'm not looking forward to this.,12
361,Taylor Swift and Joe Jonas looked really good together. I'm kinda sad they broke up.,10
362,I'm suppose to turn in a sentence outline for my research paper within the hour online but my neck hurts.,12
363,"Lady across the way had a miscarriage, say a prayer",12
364,God I just want to sleep.,10
365,@ksutt11 ohhhh thunderstorms...boo  why do they always have to make the power go out??,6
366,I feel so deflated. No more doggy.,12
367,Found my book. Starting a real paper-bound journal tonight. Have an annoying zit above my lip. Makes me look like I have herpes,10
368,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80'S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",6
369,is feeling bad  just got bad news about my Mum,12
370,@RealBlackWidow But but I dun wanna,10
371,@imjustlalayone damn girl I'm so down but ya gotta let me know so I can get my kit together &amp; I got a flyer  Any next weekend? I&quot;M DOWN!,10
372,"@JustinOdom dbl booooooo for being sick, flippin blows! ... bahaha i kno i dont have many friends on here either. i feel so lame  haha",10
373,@brettyrocks thats what i was thinking but the only time it's gonna be on is 1 am!,8
374,"Peeps still here. Fun times. Gotta sleep tho. Work in the A.M. Some cool, hot chicks here. But none as cool as ____________. Missing her",8
375,don't feel like working  I think I tweet this too often!,12
376,feels sick to my stomach and idkk whyy,10
377,vineri...nimic special sau probabil un alt weekend pierdut...,12
378,Counting the hours of lost sunshine until the Weekend,8
379,@justintevya - dude i just saw your SF pics. looks like your mini excursion was pretty kick ass! didn't see any sun while i was there tho,11
380,is home.  safely... but hungry,9
381,"@hello_jodie Um, I was thrown from @JareWolf's van yesterday and had to be taken to the ER",10
382,"got to final table, but....went out third.  Don't think I'll be getting my free seat",12
383,good morning work this morning gutted lol nevermind,8
384,I have to work in the morning while my friends get to party it up.....stupid bberry lite flashing red and I have no messages!,6
385,FB is boring   and i wanna sing RIGHT NOW..! *-*,5
386,@judyrey  The link doesn't work,10
387,@Deedubau hahaha I don't know anyone or anything about it except they have powers lol... I live in my own bubble,8
388,The humpalow um ya I think so... Cell is dying,12
389,Last day at work...Sick to the bone,12
390,i feel like I'm on house arrest.,12
391,"love is like a war,,easy to begin, hard to end..fiuuhh...",8
392,@heavenjones ur supposed to be in BK tho,11
393,@cosmiclagoon Did you know that there is a shortage of shells for crabs to use on the beach due to beach combers? It is very sad,12
394,Oh no!  Nighty night.,11
395,@celldweller Must... have... new music... I won't sleep until you give us Chapter 1... I might die first though...  Hurry!,5
396,my stupid tooooth hurts,10
397,@neyoofficial: love the song &quot;together&quot;. that's &quot;his&quot; song for me...well i think it's still is,7
398,Ready To Go @ School,8
399,@turnitgrey my computers broken and I broke my laptop so I had to use the phone  ahh still on he cause they fucked up my order.,10
400,@Richard_Gable It's good isn't it! Our holiday chalet is out of sight but look v similar to those ones. Going home again today,8
401,It's a sad economy. Just heard of another friend losing their job.  so sad. But just a reminder that...,12
